編號,書名,所在冊, 起始頁碼, 所屬類別, 版本,出版商,藏書地, 封面圖片,封面信息, 書內備註,整理備注
583,秀琼起寺一卷 : 清末民國第七甫五桂堂刻本,第一冊,560,无,无,无,无,无,无,无,无
584,秀琼起寺一卷 : 民國醉經書局刻本,第一冊,563,无,无,无,无,无,无,无,无
585,私探營房二卷 : 清佛山走馬路芹,第一冊,566,无,无,无,无,无,无,无,无
586,私探營房二卷 ,第一冊,571,无,无,无,无,无,无,无,无
587,私探營房二卷,第一冊,575,无,无,无,无,无,无,无,无
588,何惠群嘆五更一卷,第一冊,579,叹五更,民國廣州市第七甫醉經堂刻本,醉經堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,无
589,多情嘆五更一卷,第一冊,582,叹五更,清香山石岐黃鑑記刻本,鑑記,廣州圖書館,无,"插畫, 書名, 書局信息",无,何惠群題
590,伯皆大別一卷,第一冊,585,无,无,无,无,无,无,无,无
591,狄青比武二卷,第一冊,588,无,无,无,无,无,无,无,无
592,狄青斬王天化二卷,第一冊,595,无,无,无,无,无,无,无,无
593,狄青斬王天化全二卷,第一冊,599,无,无,无,无,无,无,无,无
594,辛亥廣東米貴兼閏月一卷 / 宋季緝編輯,第一冊,603,无,无,无,无,无,无,无,无
595,妓女嘆五更一卷,第一冊,606,叹五更,清以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
596,新本妙容打齋薦二卷,第一冊,609,无,无,无,无,无,无,无,无
597,青蘭附薦一卷 : 清刻本,第一冊,613,无,无,无,无,无,无,无,无
598,青蘭附薦一卷 : 清香城石岐黃鑑記刻本,第一冊,616,无,无,无,无,无,无,无,无
599,重訂青蘭附薦一卷,第一冊,619,无,无,无,无,无,无,无,无
600,長生殿一卷,第一冊,622,无,无,无,无,无,无,无,无
601,新出真言拆外母屋一卷,第一冊,634,无,无,无,无,无,无,无,无
602,新本山歌拆蔗寮一卷,第一冊,627,无,无,无,无,无,无,无,无
603,抱主傷懷一卷,第一冊,631,无,无,无,无,无,无,无,无
604,英台回鄉一卷 : 清攀桂堂刻本,第一冊,633,无,无,无,无,无,无,无,无
605,英台回鄉一卷 : 清末民國堂刻香港荷里活道五桂堂印本,第一冊,636,无,无,无,无,无,无,无,无
606,英台回鄉一卷 : 清末民國成文堂刻本,第一冊,639,无,无,无,无,无,无,无,无
607,英台回鄉不分卷,第一冊,642,无,无,无,无,无,无,无,无
608,英台拜月一卷,第一冊,648,无,无,无,无,无,无,无,无
609,新本英台問覡遊十殿一卷 / 題閒情居士訂,第一冊,651,无,无,无,无,无,无,无,无
610,新本英台祭奠一卷,第一冊,654,无,无,无,无,无,无,无,无
611,英台戲友辦酒奪錦南音一卷,第一冊,657,无,无,无,无,无,无,无,无
612,英雄出現二卷,第一冊,660,无,无,无,无,无,无,无,无
613,妻妾相和新本百八鐘一卷,第一冊,664,无,无,无,无,无,无,无,无
614,新本到捲珠簾□卷 (存卷上),第一冊,667,无,无,无,无,无,无,无,无
615,明皇遊月宮一卷 / 題龍舟松撰,第一冊,670,无,无,无,无,无,无,无,无
616,金山婆自嘆一卷,第一冊,673,无,民國公益埠蘇杭街會文閣製筆印書局鉛印本,"會文閣, 筆印書局",佛山市順德圖書館,无,無封面,无,无
617,金山婆自嘆二卷,第一冊,677,无,民國廣州市第七甫醉經堂刻本,醉經堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息",无,无
618,金生挑盒一卷,第一冊,681,无,无,无,无,无,无,无,无
619,重訂金生挑盒一卷,第一冊,684,无,无,无,无,无,无,无,无
620,金生拜契一卷,第一冊,687,无,无,无,无,无,无,无,无
621,金生拜契一卷,第一冊,690,无,无,无,无,无,无,无,无
622,金生拜廟一卷,第一冊,693,无,无,无,无,无,无,无,无
623,金生解菓一卷,第一冊,696,无,无,无,无,无,无,无,无
624,金生解菓一卷,第一冊,699,无,无,无,无,无,无,无,无
625,金星戲竇兒一卷,第一冊,702,无,无,无,无,无,无,无,无
626,金星戲竇兒一卷,第一冊,705,无,无,无,无,无,无,无,无
627,金橋問卦二卷,第一冊,708,无,无,无,无,无,无,无,无
628,新本金蘭寄書一卷,第一冊,712,无,无,无,无,无,无,无,无
629,金鑾殿輕生一卷,第一冊,716,无,无,无,无,无,无,无,无
630,重訂周氏反嫁一卷,第一冊,719,无,无,无,无,无,无,无,无
631,重訂夜送寒衣二卷,第一冊,723,无,无,无,无,无,无,无,无
632,夜諫金蘭一卷,第一冊,727,无,无,无,无,无,无,无,无
633,夜諫金蘭一卷,第一冊,733,无,无,无,无,无,无,无,无
634,盲公打釘一卷,第一冊,742,无,无,无,无,无,无,无,无
635,盲公打釘一卷,第一冊,745,无,无,无,无,无,无,无,无
636,河下溫舊情一卷,第一冊,748,无,无,无,无,无,无,无,无
637,姑嫂離別一卷,第一冊,751,无,无,无,无,无,无,无,无
638,妯娌炒鬧一卷,第一冊,757,无,无,无,无,无,无,无,无
639,胡生哭別一卷,第一冊,764,无,无,无,无,无,无,无,无
640,胡生賣芥蘭一卷 / 題閒情居士稿,第一冊,767,无,无,无,无,无,无,无,无
641,胡奎賣人頭二卷,第一冊,770,无,无,无,无,无,无,无,无
642,重訂柏玉霜自縊二卷,第一冊,774,无,无,无,无,无,无,无,无
643,貞節婦大罵賭仔二卷,第一冊,778,无,无,无,无,无,无,无,无
644,貴妃醉酒一卷,第一冊,783,无,无,无,无,无,无,无,无
645,特別改良看男女相歌一卷附戒煙粵謳,第一冊,785,无,无,无,无,无,无,无,无
646,重台分別一卷,第一冊,789,无,无,无,无,无,无,无,无
647,重台分別一卷,第一冊,792,无,无,无,无,无,无,无,无
648,重威試妻一卷,第一冊,795,无,无,无,无,无,无,无,无
649,皇姨拷問一卷,第一冊,799,无,无,无,无,无,无,无,无
650,鬼附自嘆一卷,第一冊,802,无,清末民國粵東省城五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六一毫米 寬一一四毫米,无
651,新出鬼附自嘆一卷,第一冊,805,龍舟,清第七甫五桂堂刻本,廣州五桂堂,復旦大學圖書館,无,"書名, 書局信息",題 龍舟魁 記,封面寫“新出龍舟歌”
652,鬼馬元什才一卷,第一冊,808,无,无,无,无,无,无,无,无
653,風流佳話勸僱員守慎一卷,第一冊,811,无,无,无,无,无,无,无,无
654,風情雅趣不分卷,第一冊,814,无,无,无,无,无,无,无,无
655,狡婦疴鞋三卷,第一冊,821,无,无,无,无,无,无,无,无
656,改良狡婦疴鞋三卷,第一冊,826,无,无,无,无,无,无,无,无
657,怨夫立妾一卷,第一冊,832,无,无,无,无,无,无,无,无
658,新本怨夫立妾嘆五更一卷,第一冊,835,"叹五更, 龍舟",清近文堂刻正興大街成文堂印本,"成文堂, 近文堂",復旦大學圖書館,无,"書名, 書局信息",无,封面寫“新出龍舟”
659,送姐包心憶恨一卷 / 題半閒主人評選,第一冊,839,无,无,无,无,无,无,无,无
660,新出結拜同心送嫁歌一卷,第一冊,842,无,无,无,无,无,无,无,无
661,炸鳳山姨太祭奠三卷,第一冊,846,无,无,无,无,无,无,无,无
662,剃頭二借妻三卷,第一冊,851,无,无,无,无,无,无,无,无
