編號,書名,所在冊, 起始頁碼, 所屬類別, 版本,出版商,藏書地, 封面圖片,封面信息, 書內備註,整理備注
350,深閨夜話不分卷,第十三冊,182,无,清同治元年刻本,無信息,北京師範大學圖書館,无,"年份, 書名",无,按木魚身、木魚頭、口等順序進行說教，一直唱到木魚尾
351,全本梁山伯即係牡丹記南音二卷,第十三冊,196,南音,清莞城萃英樓刻本,萃英樓,廣州大典研究中心,无,"故事情節/內容, 書名, 書局信息",无,內頁開頭“全本梁山伯即係牡丹記南音”
352,重訂梁山伯牡丹記南音二卷,第十三冊,218,南音,清末民國第七甫大新書局刻本,大新書局,廣州大典研究中心,无,"故事情節/內容, 書名, 書局信息",題 大新書局重訂； 原書版框高一六〇毫米 寬一一四毫米,內頁開頭“重訂梁山伯牡丹記南音”
353,新輯梁山伯祝英台全集三十二回,第十三冊,237,无,民國二十年赤坎新開培記書局鉛印本,培記書局,廣州大典研究中心,无,無封面,余瑞姍 編輯,无
354,梁山伯祝英台十八回,第十三冊,281,无,民國三十六年上海廣益書局鉛印本,廣益書局,佛山市博物館,无,"插畫, 書名",胡協寅 校勘,封底寫有出版信息
355,梁夢嬌遊拾殿一卷,第十三冊,294,无,民國鉛印本,無信息,廣州圖書館,无,無封面,无,无
356,新刻隋唐大伐南陳胭脂井記四卷,第十三冊,327,无,清莞城萃英樓刻道光十六年莞城會源堂印本,"會源堂, 萃英樓",臺北傅斯年圖書館,无,"年份, 故事情節/內容, 書名, 書局信息",无,无
357,新續隋唐大開花燈記四卷,第十三冊,364,无,清光緒十三年莞城萃英樓刻本,萃英樓,臺北傅斯年圖書館,无,"年份, 故事情節/內容, 書名, 書局信息",无,无
358,趙五娘琵琶記一卷,第十三冊,398,无,民國鉛印本,無信息,廣州大典研究中心,无,"插畫, 書名",无,无
359,新選第七才子書蔡伯喈琵琶記全本四卷,第十三冊,405,无,清粵東省城狀元坊太平新街以文堂刻本,以文堂,復旦大學圖書館,无,"插畫, 書名, 書局信息",无,无
360,新刻全本琥珀釵記四卷,第十三冊,441,无,清第七甫五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
361,新刻琥珀鳳釵柳希雲全本南音六卷後續六卷,第十三冊,477,南音,清刻本,無信息,廣州大典研究中心,无,書名,原書版框高一六八毫米 寬一一五毫米,內頁標題“新刻琥珀鳳釵柳希雲全本南音”
362,新刻琥珀鳳釵柳希雲全本南音六卷後續六卷,第十三冊,578,无,民國廣州市光復中路醉經書局刻本,醉經書局,中山大學圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一六二毫米 寬一一四毫米,无
363,新選全本琥珀蘭簪六卷,第十三冊,682,无,清末民國廣州第七甫醉經堂刻本,醉經堂,中山大學中國非物質文化遺產研究中心,无,"插畫, 書名, 書局信息, 畫家信息",題 閒情居士訂；原書版框高一六九毫米 寬一一六毫米,无
364,新刻全套黃飛虎反五關南音二卷,第十三冊,745,南音,清五桂堂刻本,廣州五桂堂,英國倫敦大學亞非學院圖書館,无,"書名, 書局信息",无,內頁標題“新新刻全套黃飛虎反五關南音”
365,新選萬花樓全本五卷二續五卷三續五卷四續五卷,第十四冊,1,无,清近文堂、萃英樓刻狀元坊太平新街以文堂印本,"以文堂, 萃英樓, 近文堂",廣州圖書館,无,"故事情節/內容, 書名, 書局信息",原書版框高一七〇毫米 寬一二一毫米,无
366,新選萬宿梁蕭全部四卷,第十四冊,166,无,清乾隆四十三年明秀堂刻本,明秀堂,德國巴伐利亞州立圖書館,无,"年份, 書名, 書局信息",原書版框高一六九毫米 寬一一六毫米,无
367,新刻董永全套仲舒尋母三卷,第十四冊,211,无,清末民國丹柱堂刻五桂堂印本,"丹柱堂, 廣州五桂堂",英國倫敦大學亞非學院圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",清馬學愚編,无
368,新選全本朝上鶯歌記四卷,第十四冊,232,无,清省城第七甫五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
369,新選全本朝上鶯歌記四卷,第十四冊,267,南音,民國五桂堂刻本,廣州五桂堂,廣州大典研究中心,无,"分類, 插畫, 書名, 書局信息, 藥廠廣告",原書版框高一五四毫米 寬一一九毫米,封面“機板正字好唱南音”
370,新選全本朝上鶯歌記四卷,第十四冊,302,无,民國廣州市光復中路醉經書局刻本,醉經書局,廣州大典研究中心,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一六〇毫米 寬一一一毫米,无
371,新選全本葵花記四卷,第十四冊,335,无,清末民國五桂堂刻本,廣州五桂堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題閒情居士訂,无
372,新選十一才子雁翎媒全本四卷,第十四冊,370,无,清省城丹柱堂刻本,丹柱堂,廣東省立中山圖書館,无,"故事情節/內容, 書名, 書局信息",原書版框高一六五毫米 寬一一八毫米,无
373,新刻正紫霞杯南音四卷,第十四冊,408,南音,清佛山□□堂刻民國廣州市第七甫醉經堂印本,醉經堂,廣州大典研究中心,无,"插畫, 書名, 書局信息",原書版框高一五七毫米 寬一一四毫米,內頁書名《新刻全本正紫霞杯南音》
374,新刻正字紫霞杯南音四卷,第十四冊,446,南音,清末民國第七甫五桂堂刻本,廣州五桂堂,廣州圖書館,无,"插畫, 書名, 書局信息",原書版框高一五九毫米 寬一一六毫米,內頁書名《新刻正字全本正紫霞杯南音》
375,新本蛛絲琴初集二卷,第十四冊,479,南音,清末民國五桂堂刻本,廣州五桂堂,中山大學中國非物質文化遺產研究中心,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁書名《新本南音蛛絲琴初集》
376,御結荼蘼原本六卷,第十四冊,488,无,清末民國五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"故事情節/內容, 書名, 書局信息",原書版框高一六二毫米 寬一一四毫米,无
377,新刻番寶名琴全本三卷,第十四冊,532,无,清莞城萃英樓刻嘉慶十二年莞城會源堂印本,"會源堂, 萃英樓",中山大學圖書館,无,"年份, 書名, 書局信息",原書版框高一六二毫米 寬一一四毫米,无
378,新編訂選番寶香囊四卷,第十四冊,560,无,清莞城教場街萃英樓刻本,萃英樓,復旦大學圖書館,无,"書名, 書局信息",无,无
379,新選番寶海棠全本四卷,第十四冊,599,无,清光緒十三年莞城萃英樓刻本,萃英樓,中山大學圖書館,无,"年份, 故事情節/內容, 書名, 書局信息",原書版框高一六二毫米 寬一一四毫米,无
380,寒興取柴一卷,第十四冊,623,木魚,民國台山新昌埠西橋路文明閣書莊鉛印本,文明閣書莊,中山大學中國非物質文化遺產研究中心,无,"分類, 插畫, 書名, 書局信息",无,封面“新出苦情木魚書”
381,寒興取柴一卷,第十四冊,636,木魚,民國廣州光復中路華興書局鉛印本,華興書局,廣州大典研究中心,无,"插畫, 書名, 書局信息, 藥廠廣告",无,內頁“新出苦情警示木魚”
382,寒興取柴一卷三姑妹一卷附三姑妹龍舟歌一卷,第十四冊,648,无,民國廣州市光復中路民智書店、大成書局鉛印本,"大成書局, 民智書店",廣州大典研究中心,无,無封面,无,无
383,新選瑞英屏桃花送藥四卷,第十四冊,656,无,清省城第七甫丹柱堂刻本,丹柱堂,復旦大學圖書館,无,"故事情節/內容, 書名, 書局信息",无,无
384,大宋楊文廣進香不分卷,第十五冊,1,无,抄本,無信息,廣東省立中山圖書館,无,無封面,无,无
385,新刻楊家大破天門陣全本初集至四集二十四卷,第十五冊,129,无,清第七甫丹柱堂 省城九曜坊榮德堂刻本,"丹柱堂, 榮德堂",國家圖書館,无,"故事情節/內容, 書名, 書局信息",題閒情居士訂,无
386,新木魚頭一卷,第十五冊,333,南音,清□□堂刻本,無信息,北京師範大學圖書館,无,"分類, 書名",无,封面寫“盛世南音”
387,新選全本慈雲走國一集至五集三十卷,第十五冊,338,无,清省城學院前九曜坊□□堂刻粵東廣州狀元坊太平新街以文堂印本,以文堂,廣東省立中山圖書館,无,"書名, 書局信息",題 閒情居士訂；原書版框高一六八毫米 寬一一四毫米,无
388,新選慈銀太子走國初集至三集十八卷,第十五冊,610,无,清省城載經堂刻第八甫右經堂印本,"右經堂, 載經堂",國家圖書館,无,"故事情節/內容, 書名, 書局信息",題 閒情居士訂,无
389,新選福祿明珠記二卷,第十六册,1,无,清省城第七甫丹柱堂刻本,丹柱堂,國家圖書館,无,無封面,无,无
390,新刻大宋群英傑記奸奴害主王文英遇救仲淹訪察楊家女將破陣全本南音初集至四集十六卷,第十六册,12,南音,清佛山福祿里進文堂刻民國廣州市光復路五桂堂印本,"廣州五桂堂, 進文堂",復旦大學圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",題半醒居士訂,內頁寫“新刻大宋群英傑記奸奴害主王文英遇救仲淹訪察楊家女將破陣全本南音”
